,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
271,1970-01-01 00:07:48.703,4,3,5,2,1,2,2,1.6200000047683716,3.4000000953674316
272,1970-01-01 00:09:20.875,1,6,8,1,2,2,3,0.699999988079071,3.6600000858306885
273,1970-01-01 00:00:34.262,3,7,8,4,2,3,2,-0.9900000095367432,3.8299999237060547
274,1970-01-01 00:02:11.937,1,1,5,4,1,3,2,-1.3799999952316284,4.809999942779541
275,1970-01-01 00:03:24.171,2,8,2,1,3,3,1,-3.740000009536743,3.4800000190734863
276,1970-01-01 00:05:10.983,2,8,1,3,3,3,2,1.090000033378601,4.71999979019165
277,1970-01-01 00:06:33.206,3,4,2,3,3,2,3,-4.53000020980835,3.700000047683716
278,1970-01-01 00:07:54.876,4,1,1,1,3,2,3,-2.5399999618530273,1.4900000095367432
279,1970-01-01 00:09:25.605,2,1,8,1,1,3,3,-0.8999999761581421,4.960000038146973
280,1970-01-01 00:00:38.349,4,8,5,2,1,2,1,0.7799999713897705,3.1500000953674316
281,1970-01-01 00:02:11.440,2,4,4,3,3,3,2,-2.7300000190734863,3.130000114440918
282,1970-01-01 00:03:24.639,3,3,1,4,1,3,1,0.5799999833106995,3.359999895095825
283,1970-01-01 00:04:54.705,3,5,8,1,3,2,2,3.0899999141693115,4.53000020980835
284,1970-01-01 00:06:13.135,1,2,2,5,1,3,3,4.670000076293945,4.949999809265137
